"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","181.484","175.849","170.213","166.562","162.911","159.26","155.609","151.957","146.205","140.452","134.7","128.947","123.195","119.658","116.121","112.585","109.048","105.511","103.74","101.969","100.199","98.428","96.657","95.556","94.456","93.355","92.255","91.154","90.796","90.437","90.078","89.72","89.361","89.007","88.653","88.299","87.944","87.59","87.256","86.923","86.589","86.255","85.921","84.721","83.521","82.322","81.122","79.922","78.855","77.789","76.722","75.655","74.589","73.561","72.534","71.506","70.479","",
"Afghanistan","AFG","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","551.122","545.51","539.898","534.645","529.392","524.139","518.886","513.633","508.259","502.885","497.512","492.138","486.764","480.737","474.71","468.683","462.656","456.629","449.341","442.054","434.766","427.478","420.19","410.705","401.22","391.735","382.25","372.765","364.512","356.259","348.006","339.752","331.499","326.243","320.987","315.731","310.475","305.218","299.408","293.597","287.786","281.975","276.164","269.54","262.917","256.293","249.669","243.045","238.354","233.662","228.971","224.28","219.588","215.307","211.026","206.746","202.465","",
"Angola","AGO","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","498.232","494.482","490.731","486.126","481.521","476.916","472.311","467.705","463.195","458.685","454.175","449.665","445.154","440.734","436.313","431.892","427.472","423.051","420.438","417.826","415.213","412.6","409.988","408.481","406.975","405.468","403.962","402.455","400.316","398.178","396.039","393.9","391.762","386.523","381.283","376.044","370.805","365.566","355.259","344.953","334.646","324.339","314.033","303.361","292.69","282.019","271.347","260.676","251.656","242.637","233.617","224.597","215.577","212.458","209.339","206.219","203.1","",
"Albania","ALB","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","151.058","139.856","128.654","129.676","130.698","131.72","132.743","133.765","131.93","130.095","128.26","126.425","124.59","121.461","118.332","115.203","112.075","108.946","105.126","101.307","97.488","93.668","89.849","86.023","82.196","78.37","74.543","70.717","71.986","73.255","74.524","75.793","77.062","76.007","74.951","73.895","72.839","71.783","69.539","67.295","65.051","62.807","60.562","60.346","60.13","59.914","59.697","59.481","58.188","56.895","55.601","54.308","53.015","52.355","51.695","51.035","50.375","",
"Andorra","AND","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","298.731956826371","294.941374390167","290.919198408522","286.005383710635","281.160519015049","276.452929685019","271.816206778213","267.308024326118","262.963667189759","258.574992739369","254.108482029661","249.584991401195","245.011939805626","240.788674400293","236.682940022232","232.725976269547","228.991166021539","225.37782322212","220.256554361129","215.049694307325","209.706422101263","204.110472882925","198.382498345907","194.214420740732","190.041227412053","185.902375418505","181.799514300187","177.727842880347","174.814650824171","171.926030847065","168.933301401243","166.013543770559","163.762528530738","161.226353349838","158.7010879934","155.689263438137","153.097188189583","150.536646249413","148.637705370725","146.774229085611","144.944835545777","143.136080122992","141.352979263284","138.986636196482","136.631842565037","134.278711991284","131.842107777132","129.416374761008","127.482681183503","125.599413729624","123.774001868551","122.017163795068","120.292773346861","118.646150852043","117.04018236926","115.463701051721","113.883661585353","",
"United Arab Emirates","ARE","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","253.996","246.851","239.707","233.785","227.863","221.942","216.02","210.098","205.107","200.116","195.125","190.133","185.142","180.838","176.533","172.228","167.924","163.619","159.811","156.004","152.196","148.388","144.58","141.139","137.698","134.257","130.816","127.376","124.189","121.002","117.816","114.629","111.442","108.278","105.115","101.951","98.787","95.623","92.397","89.17","85.943","82.717","79.49","76.507","73.524","70.541","67.557","64.574","63.499","62.424","61.349","60.274","59.199","58.346","57.493","56.639","55.786","",
"Argentina","ARG","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","156.247","151.895","147.544","146.334","145.124","143.915","142.705","141.495","139.869","138.243","136.617","134.991","133.365","131.776","130.186","128.597","127.008","125.418","123.381","121.345","119.308","117.271","115.234","114.281","113.328","112.374","111.421","110.467","108.715","106.963","105.211","103.46","101.708","100.41","99.112","97.814","96.516","95.219","94.412","93.606","92.799","91.993","91.187","89.442","87.697","85.952","84.206","82.461","81.321","80.18","79.04","77.899","76.759","76.022","75.284","74.547","73.81","",
"Armenia","ARM","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","136.917","131.925","126.933","123.152","119.371","115.59","111.809","108.028","105.752","103.476","101.2","98.924","96.648","97.422","98.195","98.969","99.742","100.516","100.61","100.705","100.799","100.894","100.988","108.642","116.295","123.949","131.602","139.256","136.312","133.369","130.425","127.481","124.538","121.695","118.853","116.011","113.168","110.326","106.198","102.07","97.943","93.815","89.687","89.904","90.121","90.338","90.555","90.772","88.245","85.718","83.191","80.664","78.137","77.145","76.153","75.161","74.168","",
"American Samoa","ASM","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
