"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","69.91539","70.81053","71.70567","72.28395","72.86223","73.44051","74.01879","74.59707","75.50421","76.41135","77.31848","78.22562","79.13275","79.70138","80.27001","80.83864","81.40727","81.97589","82.26398","82.55206","82.84015","83.12823","83.41632","83.59711","83.77791","83.9587","84.1395","84.32029","84.37938","84.43848","84.49757","84.55667","84.61576","84.67424","84.73273","84.79121","84.84969","84.90818","84.96336","85.01855","85.07373","85.12892","85.18411","85.3832","85.58229","85.78138","85.98047","86.17956","86.35732","86.53508","86.71284","86.8906","87.06836","87.24025","87.41215","87.58404","87.75594","",
"Afghanistan","AFG","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","21.20095","21.73633","22.27172","22.80175","23.33178","23.86181","24.39184","24.92187","25.49266","26.06344","26.63422","27.20501","27.77579","28.44994","29.12408","29.79823","30.47237","31.14652","32.00895","32.87138","33.73382","34.59625","35.45868","36.66007","37.86147","39.06286","40.26425","41.46565","42.64541","43.82517","45.00493","46.18469","47.36445","48.11055","48.85665","49.60275","50.34886","51.09496","51.94104","52.78711","53.63319","54.47927","55.32535","56.31773","57.31011","58.30249","59.29487","60.28726","61.00975","61.73225","62.45475","63.17724","63.89974","64.57237","65.245","65.91763","66.59025","",
"Angola","AGO","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","24.60123","24.99663","25.39202","25.89918","26.40634","26.9135","27.42066","27.92782","28.44782","28.96783","29.48784","30.00784","30.52785","31.05969","31.59153","32.12337","32.65521","33.18705","33.5115","33.83596","34.16041","34.48487","34.80933","35.00006","35.1908","35.38153","35.57227","35.763","36.03783","36.31266","36.58748","36.86231","37.13714","37.83334","38.52954","39.22575","39.92195","40.61815","42.14985","43.68155","45.21325","46.74496","48.27666","49.93533","51.594","53.25268","54.91135","56.57002","58.02418","59.47834","60.9325","62.38665","63.84081","64.35698","64.87315","65.38931","65.90548","",
"Albania","ALB","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","68.06445","69.86953","71.67461","71.99951","72.32442","72.64932","72.97423","73.29913","73.90025","74.50136","75.10248","75.70359","76.30471","76.86127","77.41782","77.97438","78.53094","79.08749","79.69184","80.29619","80.90054","81.50489","82.10924","82.76361","83.41798","84.07235","84.72672","85.3811","85.33507","85.28905","85.24303","85.197","85.15098","85.40046","85.64993","85.89941","86.14889","86.39836","86.80686","87.21536","87.62386","88.03236","88.44086","88.60552","88.77019","88.93485","89.09951","89.26418","89.4526","89.64103","89.82945","90.01788","90.2063","90.34531","90.48432","90.62333","90.76234","",
"Andorra","AND","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","44.8104650622263","45.5319141800998","46.263061785882","47.0899014675073","47.9150226643279","48.7363490688338","49.5566844212524","50.3724251195493","51.1132268227556","51.8582988468941","52.6081824497725","53.3674236499416","54.130012848666","55.0438198629268","55.9425244931146","56.8225122215149","57.6726034408352","58.5047486127153","59.5311683915329","60.5666950006064","61.6187419014715","62.706601395018","63.8113128548659","64.7026825970441","65.5927228526016","66.475841984966","67.349879189279","68.2181158717716","68.8014950097282","69.3809922963116","69.9928742691879","70.579034422493","71.0608505325147","71.6157906083714","72.1672076428121","72.788604415668","73.3446818893025","73.8946317525159","74.2567129757699","74.6132119040281","74.9646527724493","75.3122218156268","75.6563235833763","76.067599616477","76.4772130244195","76.8863941172747","77.3079548733375","77.7272839666881","78.0278669905255","78.3210860237456","78.6059383716465","78.8790791603144","79.1478520715114","79.4418757935658","79.7297608167585","80.0131086316622","80.2981205427993","",
"United Arab Emirates","ARE","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","53.753","55.004","56.255","57.4532","58.6514","59.8496","61.0478","62.246","63.2008","64.1556","65.1104","66.0652","67.02","67.7968","68.5736","69.3504","70.1272","70.904","71.54","72.176","72.812","73.448","74.084","74.607","75.13","75.653","76.176","76.699","77.142","77.585","78.028","78.471","78.914","79.3312","79.7484","80.1656","80.5828","81","81.57292","82.14583","82.71875","83.29167","83.86458","84.23751","84.61043","84.98336","85.35628","85.7292","85.96732","86.20543","86.44355","86.68166","86.91978","87.11654","87.31331","87.51007","87.70683","",
"Argentina","ARG","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","71.8846","72.4258","72.967","73.2326","73.4982","73.7638","74.0294","74.295","74.6994","75.1038","75.5082","75.9126","76.317","76.7186","77.1202","77.5218","77.9234","78.325","78.7428","79.1606","79.5784","79.9962","80.414","80.6252","80.8364","81.0476","81.2588","81.47","81.7558","82.0416","82.3274","82.6132","82.899","83.1014","83.3038","83.5062","83.7086","83.911","84.1342","84.3574","84.5806","84.8038","85.027","85.25505","85.4831","85.71115","85.9392","86.16726","86.351","86.53475","86.7185","86.90225","87.08599","87.22185","87.35771","87.49357","87.62943","",
"Armenia","ARM","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","73.38391","74.08382","74.78373","75.37616","75.96859","76.56103","77.15346","77.74589","78.13736","78.52884","78.92031","79.31179","79.70326","79.6693","79.63534","79.60137","79.56741","79.53345","79.59399","79.65454","79.71508","79.77563","79.83617","78.85321","77.87025","76.88729","75.90433","74.92137","75.28523","75.6491","76.01296","76.37682","76.74069","77.29486","77.84902","78.40319","78.95736","79.51153","80.25252","80.99351","81.7345","82.47549","83.21648","83.33314","83.4498","83.56647","83.68313","83.79979","84.19348","84.58717","84.98086","85.37454","85.76823","85.96548","86.16274","86.35999","86.55724","",
"American Samoa","ASM","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","61.76661","62.42447","63.08232","63.70763","64.33295","64.95826","65.58358","66.20889","66.77731","67.34573","67.91416","68.48258","69.051","69.56815","70.0853","70.60245","71.1196","71.63675","72.1075","72.57824","73.04899","73.51973","73.99048","74.4193","74.84811","75.27693","75.70574","76.13456","76.52505","76.91553","77.30602","77.6965","78.08699","78.44405","78.8011","79.15816","79.51521","79.87227","80.19791","80.52354","80.84918","81.17481","81.50045","81.79855","82.09666","82.39476","82.69287","82.99097","83.2213","83.45164","83.68197","83.9123","84.14264","84.33782","84.53301","84.7282","84.92339","",
"Australia","AUS","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","80.40144","80.54434","80.68724","80.67864","80.67004","80.66144","80.65285","80.64425","80.92603","81.20782","81.4896","81.77139","82.05317","82.54511","83.03705","83.52899","84.02094","84.51288","84.90876","85.30464","85.70052","86.0964","86.49228","86.76579","87.0393","87.31281","87.58633","87.85984","88.16715","88.47446","88.78176","89.08907","89.39638","89.59879","89.8012","90.00361","90.20602","90.40843","90.63366","90.85888","91.08411","91.30933","91.53456","91.68901","91.84345","91.9979","92.15235","92.3068","92.39993","92.49306","92.58619","92.67932","92.77245","92.97123","93.17001","93.36879","93.56757","",
"Austria","AUT","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","79.02172","79.51741","80.01311","80.20693","80.40074","80.59455","80.78836","80.98218","81.24033","81.49848","81.75663","82.01479","82.27294","82.62289","82.97284","83.3228","83.67275","84.0227","84.28502","84.54733","84.80964","85.07195","85.33427","85.74591","86.15755","86.56919","86.98083","87.39247","87.60618","87.8199","88.03361","88.24732","88.46104","88.72193","88.98282","89.24371","89.5046","89.7655","89.9609","90.1563","90.3517","90.5471","90.7425","90.92222","91.10195","91.28167","91.46139","91.64111","91.72747","91.81384","91.9002","91.98657","92.07293","92.31038","92.54783","92.78527","93.02272","",
"Azerbaijan","AZE","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS","71.41086","71.6065","71.80214","71.98054","72.15893","72.33732","72.51572","72.69411","72.82037","72.94663","73.07289","73.19915","73.32541","73.32996","73.33451","73.33906","73.34361","73.34817","73.3643","73.38044","73.39658","73.41272","73.42886","73.53071","73.63256","73.73441","73.83626","73.93811","74.03164","74.12518","74.21872","74.31225","74.40579","74.70636","75.00692","75.30749","75.60806","75.90862","76.04422","76.17981","76.3154","76.45099","76.58659","77.51533","78.44408","79.37283","80.30157","81.23032","81.53942","81.84853","82.15763","82.46673","82.77584","82.94123","83.10663","83.27203","83.43743","",
